8136068,"A redundant system includes a redundant apparatus and a control unit that controls power supplied to the redundant apparatus. The redundant apparatus includes a state management unit that manages an operational state of the redundant apparatus, and a response unit that returns the operational state to the control unit. The control unit includes a first requesting unit that requests a redundant apparatus that operates as an operation system for the operational state information, a first determination unit that determines whether the response to the request is returned within a predetermined time, a second determination unit that determines whether the operational state is normal if the response is returned within the predetermined time, and a shutdown unit that shuts down the power supply to the redundant apparatus, if the second determination unit determines that the operational state is not normal."
8136069,"Computer implemented method, system and computer usable program code for profiling the execution of an application that is both space- and time-efficient and highly accurate. A computer implemented method for profiling the execution of an application includes sampling execution characteristics of the application at a plurality of sampling points to provide samples, and deriving a calling context of the samples. The application is continuously executed between sampling points while additional profiling data is gathered."
8136070,"A parity error detecting circuit includes a first operation unit, a second operation unit, and a shift register. The first operation unit receives a serial data signal and a first signal, performs a logic operation on the two received signals, and outputs the result of the logic operation as the first signal in response to a first clock signal. The shift register shifts the first signal in response to the first clock signal and outputs a second signal. The second operation unit receives the first signal and the second signal, performs a logic operation on the two received signals, and outputs the result of the logic operation in response to a second clock signal."
8136071,"A method for automatically simulating manual testing of a computer after the computer is powered on includes the steps of: (a) connecting the computer to an external storage device having a script recorded thereon that corresponds to a manual testing operation; and (b) after the computer is powered on, enabling the computer to access the script of the external storage device for performing the manual testing operation. By providing automatic simulation of manual testing of a computer after the computer is powered on, time and labor costs incurred in a conventional method of manually inputting instructions required for the manual testing operation in the computer are saved."
8136072,"The present invention is generally directed to a computer security management system that integrates a firewall with an intrusion detection system (IDS). In other words, the firewall and IDS of the present invention can be designed to communicate process or status information and packets with one another. The present invention can facilitate centralized control of the firewall and the IDS and can increase the speed at which packets are passed between a secured computer network and an external network. Increased packet processing speed can be achieved in several ways. For example, the firewall and IDS can process packets in series, in parallel, and sometimes singularly when one of the components is not permitted to process a packet. Alternatively, singular processing can also be performed when one component is permitted to pass a packet to the secured computer network without checking with the other component."
8136073,"Embodiments of the present invention provide a method, system and computer program product for a dynamic multi-context delta view for merging structured data in a visual merge tool. In one embodiment of the invention, a method for providing a dynamic multi-context delta view can include rendering a compare view of a merged state for a selected model to include model controls each corresponding to a different model state for the selected model. The method further can include detecting a transient proximity event in connection with a particular one of the model controls. The method yet further can include identifying a corresponding model state for the particular one of the model controls. Finally, the method can include replacing the merged state with the corresponding model state in the compare view."
8136074,"Systems and methods analyze the physical structure of text rows in a document image, including the positions of one or more alignments of one or more character blocks in one or more text rows of the document image. The systems and methods determine one or more groups of text rows that are placed into a class based on the structures of the text rows, such as the positions of the one or more alignments of the one or more character blocks in each text row."
8136075,"A high capacity interactive multimedia system is provided that can deliver large number of concurrent video on demand and high speed data streams in an integrated fashion to a plurality of subscribers located at one or more subscriber sites. A video server module in the system generates a plurality of video on demand streams, which are transported via a high capacity transport system to a plurality of clients located at a subscriber site. A web server in the system stores data, such as web pages, which are also transported via the high capacity transport system to the clients. By accessing the web pages, a plurality of subscribers interact with the system via the clients. The interactive multimedia system controls and monitors in a centralized fashion the hardware and software components of the system, thus assuring the quality of the video and data services provided to the subscribers."
8136076,"The “Grid Security Monitor” tracks the security status of resources in a grid computer system. When a client submits a job to the grid scheduler, the Grid Security Monitor creates a security contract. The security contract comprises all the security credentials needed to access the resource executing the job, as well as privacy and security requirements. The Grid Security Monitor compares the security status of the resource to the requirements of the security contract. If the security status of the resource changes or violates the security contract, then the Grid Security Monitor notifies the client. The Grid Security Monitor has a user interface that allows the client to perform a manual security validation by asking the grid management system to verify the security status of the resource."
8136077,"A time estimation method and system. The method comprises performing a loop of one or more iterations. Each iteration is for calculating a remaining time duration (RD) for completing a process for performing tasks. The loop is performed until the RD equals zero. Each iteration comprises receiving first data related to a plurality of objects associated with the process. A time to complete each object of the plurality of objects (POT) is calculated based on the first data. A number of objects of the plurality of objects remaining in the process (OR) is calculated based on the first data. Second data related to a plurality of work units is received. The plurality of work units is comprised by the plurality of objects. Each work unit is associated with a different task of the tasks. The RD is calculated based on the POT, the OR, and the second data."
8136078,"A document file is configured to restrict, without a costly special-purpose terminal or the like, use of document data contained therein, if the document data is taken out of a predetermined location. A document file contains (i) electronic document data, (ii) usage location information indicating one or more usage locations in which use of the electronic document data is less restricted, and (ii) a data management program that causes, when a user requests use of the electronic document data, a computer to request for user location information indicating the current location of the user. Under control of the data management program, use of the electronic document data is permitted within a first usage pattern, if the user location is included in the usage locations. If not, use of the electronic document data is prohibited or permitted within a second usage pattern which is more restricted than the first usage pattern."
8136079,Methods and systems for capturing error information regarding a Serial Advanced Technology Attachment (SATA). An initiator device is enhanced in accordance with features and aspects hereof to detect an error condition in operation of the system and to transmit error information to the SATA target device during a soft reset condition applied to the SATA target device. The SATA target device discards all such frames received during the soft reset condition until the initiator device clears the soft reset condition. The error information may be captured for further analysis and debug of the error condition by suitable error analyzer equipment such as a SATA bus analyzer. The initiator device may be a SATA initiator or a Serial Attached SCSI (SAS) initiator using the SATA Tunneling Protocol (STP). Features and aspects hereof may also include a SAS/SATA bridge device coupling a SAS initiator to the SATA target device.
8136080,The present invention provides dynamic configuration and allocation of resources in a data center. These resources are monitored for availability and performance information according to their assigned execution (or application) environments. The measured performance information for each environment is used to predict levels of demand for an application in the environment. From the predicted levels of demand resource requirements can be determined to provide a predetermined level of performance under the demand changes. The resources can then be reconfigured or reallocated to different environment so that the requirements of each environment can be met.
8136081,"Systems and methods are provided for detecting malicious behavior in mobile ad-hoc wireless networks. The mobile ad-hoc network contains a plurality of actual nodes and a plurality of decoys that are derived from the actual nodes using duplicate instances of the operational software of the actual nodes in combination with a virtual interconnection topology created to make the decoys appear as actual nodes within the mobile ad-hoc network. The interconnection topology includes routing characteristics indicating that the most efficient path of communication to any given decoy is through at least one actual node in the network. The decoys are used to identify malicious behavior in the network and in particular to identify attempt to communicate directly with decoys in contradiction to the created interconnection topology. When the malicious behavior is associated with an identifiable node, corrective action is taken that includes quarantining that node from the other nodes in the network."
8136082,An integrated circuit containing memory includes IEEE 1149.1 (JTAG) controlled self-repair system that permits permanent repair of the memory after the integrated circuit has been packaged. The JTAG controlled self-repair system allows a user to direct circuitry to blow fuses using an externally supplied voltage to electrically couple or isolate components to permanently repair a memory location with JTAG standard TMS and TCK signals. The system may optionally sequentially repair more than one memory location using a repair sequencer.
8136083,"A file distribution method and system for distributing media files to authorized recipients. The method and system exploit the advantages of peer-to-peer file distribution protocols, such as BitTorrent, while maintaining security and control over the file distribution. A server farm containing a plurality of servers is placed behind the security of a distribution system, preventing unauthorized client devices from accessing the media files stored on the server farm. Media files are fragmented and stored on each of the plurality of servers within the server farm. Each server on the server farm features at least one IP address and each server is pre-seeded with a complete copy of the fragmented media file. Fragments are distributed to requesting authorized clients in accordance with a peer-to-peer file distribution protocol."
8136084,"A method for providing attribute data. A request is received from a user device for a virtual ID token relating to attribute information pertaining to a subscriber associated with the user device. Responsive to the request for the virtual ID token, a data record is read from a database. The data record includes L attributes of the subscriber. L is at least 2. The data record is provided to the user device. A selection of M attributes of the L attributes is received from the user device. M is less than L. A virtual record including the M attributes selected from the data record is generated. The virtual record includes a virtual ID (VID) for identifying the virtual record. The generated virtual record is stored in the database. The virtual ID token is provided to the user device. The virtual ID token includes the VID."
8136085,"A method and a system for converting a document in a streamed manner, for more rapid transmission and display of each part of the document as that part is converted. The system and method are preferred for operation in environments with limited bandwidth and/or display capacity, such as for wireless handheld devices, for example. Such devices cannot easily receive large amounts of data, and also typically have relatively small display screens. Thus, the user is able to quickly receive and display each part of the document after being converted, rather than waiting for the entire document to be converted and then transmitted before any part is displayed. The system and method are particularly useful for modular file formats, such as word processing document file formats, in which each module of a file can only be fully interpreted with regard to at least one other module."
8136086,"Methods and apparatus for processing failures during semiconductor device testing are described. Examples of the invention can relate to testing a device under test (DUT). Fail capture logic can be provided, coupled to test probes and memory, to indicate only first failures of failures detected on output pins of the DUT during a test for storage in the memory."
8136087,"A software architecture is provided that has an agnostic interface mechanism coupled between a simulator and a game engine. The agnostic interface mechanism has an extension interface to translate simulator specific data objects to/from interface objects, a reflector interface to translate interface data objects to/from game specific objects, a launcher interface to translate interface control objects for controlling the game engine into game specific control objects, and a core control coupled between the extension interface and the reflector and launcher interfaces for controlling the communication of objects between the simulator and the game engine. The core control through the reflector and launcher interfaces provides game specific objects to the game engine through direct application programming interface (API) calls."
